week,source,metric,value
2025-01-05T00:00:00.000Z,blog,blog_pageviews,256002
2025-01-12T00:00:00.000Z,blog,blog_pageviews,258527
2025-01-19T00:00:00.000Z,blog,blog_pageviews,283560
2025-01-26T00:00:00.000Z,blog,blog_pageviews,262387
2025-02-02T00:00:00.000Z,blog,blog_pageviews,256702
2025-02-09T00:00:00.000Z,blog,blog_pageviews,260776
2025-02-16T00:00:00.000Z,blog,blog_pageviews,267920
2025-02-23T00:00:00.000Z,blog,blog_pageviews,277758
2025-03-02T00:00:00.000Z,blog,blog_pageviews,261154
2025-03-09T00:00:00.000Z,blog,blog_pageviews,255291
2025-03-16T00:00:00.000Z,blog,blog_pageviews,229613
2025-03-23T00:00:00.000Z,blog,blog_pageviews,246589
2025-03-30T00:00:00.000Z,blog,blog_pageviews,236247
2025-04-06T00:00:00.000Z,blog,blog_pageviews,219474
2025-04-13T00:00:00.000Z,blog,blog_pageviews,203427
2025-04-20T00:00:00.000Z,blog,blog_pageviews,198095
2025-04-27T00:00:00.000Z,blog,blog_pageviews,205895
2025-05-04T00:00:00.000Z,blog,blog_pageviews,215176
2025-05-11T00:00:00.000Z,blog,blog_pageviews,206994
2025-05-18T00:00:00.000Z,blog,blog_pageviews,183556
2025-05-25T00:00:00.000Z,blog,blog_pageviews,199997
2025-06-01T00:00:00.000Z,blog,blog_pageviews,174696
2025-06-08T00:00:00.000Z,blog,blog_pageviews,181434
2025-06-15T00:00:00.000Z,blog,blog_pageviews,163219
2025-06-22T00:00:00.000Z,blog,blog_pageviews,201623
2025-06-29T00:00:00.000Z,blog,blog_pageviews,182175
2025-07-06T00:00:00.000Z,blog,blog_pageviews,160632
2025-07-13T00:00:00.000Z,blog,blog_pageviews,150410
2025-07-20T00:00:00.000Z,blog,blog_pageviews,138563
2025-07-27T00:00:00.000Z,blog,blog_pageviews,163863
2025-08-03T00:00:00.000Z,blog,blog_pageviews,132531
2025-08-10T00:00:00.000Z,blog,blog_pageviews,138856
2025-08-17T00:00:00.000Z,blog,blog_pageviews,132313
2025-08-24T00:00:00.000Z,blog,blog_pageviews,136384
2025-08-31T00:00:00.000Z,blog,blog_pageviews,125929
2025-09-07T00:00:00.000Z,blog,blog_pageviews,147381
2025-09-14T00:00:00.000Z,blog,blog_pageviews,138181
2025-09-21T00:00:00.000Z,blog,blog_pageviews,147464
2025-09-28T00:00:00.000Z,blog,blog_pageviews,128870
2025-10-05T00:00:00.000Z,blog,blog_pageviews,131365
2025-10-12T00:00:00.000Z,blog,blog_pageviews,120566
2025-10-19T00:00:00.000Z,blog,blog_pageviews,126872
2025-10-26T00:00:00.000Z,blog,blog_pageviews,140638
2025-11-02T00:00:00.000Z,blog,blog_pageviews,132149
2025-11-09T00:00:00.000Z,blog,blog_pageviews,128136
2025-11-16T00:00:00.000Z,blog,blog_pageviews,121221
2025-11-23T00:00:00.000Z,blog,blog_pageviews,127056
2025-11-30T00:00:00.000Z,blog,blog_pageviews,115465
2025-12-07T00:00:00.000Z,blog,blog_pageviews,106303
2025-12-14T00:00:00.000Z,blog,blog_pageviews,109919
2025-12-21T00:00:00.000Z,blog,blog_pageviews,103221
2025-12-28T00:00:00.000Z,blog,blog_pageviews,101454
2026-01-04T00:00:00.000Z,blog,blog_pageviews,110704
2026-01-11T00:00:00.000Z,blog,blog_pageviews,62354
2025-01-05T00:00:00.000Z,buffer_accounts,total_reach,19029
2025-01-12T00:00:00.000Z,buffer_accounts,total_reach,56190
2025-01-19T00:00:00.000Z,buffer_accounts,total_reach,52408
2025-01-26T00:00:00.000Z,buffer_accounts,total_reach,33951
2025-02-02T00:00:00.000Z,buffer_accounts,total_reach,42639
2025-02-09T00:00:00.000Z,buffer_accounts,total_reach,34004
2025-02-16T00:00:00.000Z,buffer_accounts,total_reach,34642
2025-02-23T00:00:00.000Z,buffer_accounts,total_reach,33971
2025-03-02T00:00:00.000Z,buffer_accounts,total_reach,29141
2025-03-09T00:00:00.000Z,buffer_accounts,total_reach,101011
2025-03-16T00:00:00.000Z,buffer_accounts,total_reach,9750
2025-03-23T00:00:00.000Z,buffer_accounts,total_reach,35541
2025-03-30T00:00:00.000Z,buffer_accounts,total_reach,5899
2025-04-06T00:00:00.000Z,buffer_accounts,total_reach,23354
2025-04-13T00:00:00.000Z,buffer_accounts,total_reach,3708
2025-04-20T00:00:00.000Z,buffer_accounts,total_reach,9778
2025-04-27T00:00:00.000Z,buffer_accounts,total_reach,25539
2025-05-04T00:00:00.000Z,buffer_accounts,total_reach,5869
2025-05-11T00:00:00.000Z,buffer_accounts,total_reach,12742
2025-05-18T00:00:00.000Z,buffer_accounts,total_reach,9485
2025-05-25T00:00:00.000Z,buffer_accounts,total_reach,11327
2025-06-01T00:00:00.000Z,buffer_accounts,total_reach,18198
2025-06-08T00:00:00.000Z,buffer_accounts,total_reach,24494
2025-06-15T00:00:00.000Z,buffer_accounts,total_reach,36783
2025-06-22T00:00:00.000Z,buffer_accounts,total_reach,85742
2025-06-29T00:00:00.000Z,buffer_accounts,total_reach,17802
2025-07-06T00:00:00.000Z,buffer_accounts,total_reach,70680
2025-07-13T00:00:00.000Z,buffer_accounts,total_reach,34887
2025-07-20T00:00:00.000Z,buffer_accounts,total_reach,37423
2025-07-27T00:00:00.000Z,buffer_accounts,total_reach,37395
2025-08-03T00:00:00.000Z,buffer_accounts,total_reach,103838
2025-08-10T00:00:00.000Z,buffer_accounts,total_reach,23659
2025-08-17T00:00:00.000Z,buffer_accounts,total_reach,29218
2025-08-24T00:00:00.000Z,buffer_accounts,total_reach,28063
2025-08-31T00:00:00.000Z,buffer_accounts,total_reach,24307
2025-09-07T00:00:00.000Z,buffer_accounts,total_reach,19479
2025-09-14T00:00:00.000Z,buffer_accounts,total_reach,57721
2025-09-21T00:00:00.000Z,buffer_accounts,total_reach,27009
2025-09-28T00:00:00.000Z,buffer_accounts,total_reach,41468
2025-10-05T00:00:00.000Z,buffer_accounts,total_reach,33943
2025-10-12T00:00:00.000Z,buffer_accounts,total_reach,41134
2025-10-19T00:00:00.000Z,buffer_accounts,total_reach,69224
2025-10-26T00:00:00.000Z,buffer_accounts,total_reach,47570
2025-11-02T00:00:00.000Z,buffer_accounts,total_reach,382896
2025-11-09T00:00:00.000Z,buffer_accounts,total_reach,125300
2025-11-16T00:00:00.000Z,buffer_accounts,total_reach,35552
2025-11-23T00:00:00.000Z,buffer_accounts,total_reach,17039
2025-11-30T00:00:00.000Z,buffer_accounts,total_reach,28252
2025-12-07T00:00:00.000Z,buffer_accounts,total_reach,24574
2025-12-14T00:00:00.000Z,buffer_accounts,total_reach,25956
2025-12-21T00:00:00.000Z,buffer_accounts,total_reach,9915
2025-12-28T00:00:00.000Z,buffer_accounts,total_reach,0
2026-01-04T00:00:00.000Z,buffer_accounts,total_reach,25770
2026-01-11T00:00:00.000Z,buffer_accounts,total_reach,2458
2025-01-19T00:00:00.000Z,buffer_team,total_reach,1333146
2025-01-26T00:00:00.000Z,buffer_team,total_reach,109602
2025-02-02T00:00:00.000Z,buffer_team,total_reach,56701
2025-02-09T00:00:00.000Z,buffer_team,total_reach,116814
2025-02-16T00:00:00.000Z,buffer_team,total_reach,144673
2025-02-23T00:00:00.000Z,buffer_team,total_reach,5366096
2025-03-02T00:00:00.000Z,buffer_team,total_reach,94144
2025-03-09T00:00:00.000Z,buffer_team,total_reach,75149
2025-03-16T00:00:00.000Z,buffer_team,total_reach,195402
2025-03-23T00:00:00.000Z,buffer_team,total_reach,99117
2025-03-30T00:00:00.000Z,buffer_team,total_reach,120765
2025-04-06T00:00:00.000Z,buffer_team,total_reach,189998
2025-04-13T00:00:00.000Z,buffer_team,total_reach,600615
2025-04-20T00:00:00.000Z,buffer_team,total_reach,143119
2025-04-27T00:00:00.000Z,buffer_team,total_reach,338683
2025-05-04T00:00:00.000Z,buffer_team,total_reach,195024
2025-05-11T00:00:00.000Z,buffer_team,total_reach,446180
2025-05-18T00:00:00.000Z,buffer_team,total_reach,309484
2025-05-25T00:00:00.000Z,buffer_team,total_reach,355333
2025-06-01T00:00:00.000Z,buffer_team,total_reach,241118
2025-06-08T00:00:00.000Z,buffer_team,total_reach,372120
2025-06-15T00:00:00.000Z,buffer_team,total_reach,678934
2025-06-22T00:00:00.000Z,buffer_team,total_reach,523181
2025-06-29T00:00:00.000Z,buffer_team,total_reach,405885
2025-07-06T00:00:00.000Z,buffer_team,total_reach,339316
2025-07-13T00:00:00.000Z,buffer_team,total_reach,790845
2025-07-20T00:00:00.000Z,buffer_team,total_reach,1041534
2025-07-27T00:00:00.000Z,buffer_team,total_reach,2027113
2025-08-03T00:00:00.000Z,buffer_team,total_reach,769262
2025-08-10T00:00:00.000Z,buffer_team,total_reach,355586
2025-08-17T00:00:00.000Z,buffer_team,total_reach,502892
2025-08-24T00:00:00.000Z,buffer_team,total_reach,468615
2025-08-31T00:00:00.000Z,buffer_team,total_reach,228871
2025-09-07T00:00:00.000Z,buffer_team,total_reach,477993
2025-09-14T00:00:00.000Z,buffer_team,total_reach,2372058
2025-09-21T00:00:00.000Z,buffer_team,total_reach,785900
2025-09-28T00:00:00.000Z,buffer_team,total_reach,618749
2025-10-05T00:00:00.000Z,buffer_team,total_reach,562752
2025-10-12T00:00:00.000Z,buffer_team,total_reach,565780
2025-10-19T00:00:00.000Z,buffer_team,total_reach,557112
2025-10-26T00:00:00.000Z,buffer_team,total_reach,1191135
2025-11-02T00:00:00.000Z,buffer_team,total_reach,1481000
2025-11-09T00:00:00.000Z,buffer_team,total_reach,17540452
2025-11-16T00:00:00.000Z,buffer_team,total_reach,306881
2025-11-23T00:00:00.000Z,buffer_team,total_reach,455380
2025-11-30T00:00:00.000Z,buffer_team,total_reach,754857
2025-12-07T00:00:00.000Z,buffer_team,total_reach,408124
2025-12-14T00:00:00.000Z,buffer_team,total_reach,804158
2025-12-21T00:00:00.000Z,buffer_team,total_reach,302066
2025-12-28T00:00:00.000Z,buffer_team,total_reach,142985
2026-01-04T00:00:00.000Z,buffer_team,total_reach,346461